Kód,Územná jednotka,Spolu,muži (abs.),muži (%),ženy (abs.),ženy (%)
SK0237500062,Beladice,1666,813,48.8,853,51.2
SK0237500127,Čaradice,512,250,48.83,262,51.17
SK0237500151,Čierne Kľačany,1168,581,49.74,587,50.26
SK0237500283,Hostie,1209,585,48.39,624,51.61
SK0237500305,Hosťovce (Okres Zlaté Moravce),750,394,52.53,356,47.47
SK0237500321,Choča,501,254,50.7,247,49.3
SK0237500364,Jedľové Kostoľany,887,421,47.46,466,52.54
SK0237500429,Kostoľany pod Tribečom,344,172,50,172,50
SK0237500437,Ladice,758,381,50.26,377,49.74
SK0237500461,Lovce,699,351,50.21,348,49.79
SK0237500500,Machulince,1101,521,47.32,580,52.68
SK0237500542,Mankovce,528,259,49.05,269,50.95
SK0237500551,Martin nad Žitavou,535,279,52.15,256,47.85
SK0237500585,Nemčiňany,654,318,48.62,336,51.38
SK0237500593,Neverice,692,337,48.7,355,51.3
SK0237500607,Nevidzany (Okres Zlaté Moravce),583,293,50.26,290,49.74
SK0237500658,Obyce,1510,734,48.61,776,51.39
SK0237500721,Skýcov,948,476,50.21,472,49.79
SK0237500747,Sľažany,1712,835,48.77,877,51.23
SK0237500755,Slepčany,813,385,47.36,428,52.64
SK0237500810,Tesárske Mlyňany,1761,928,52.7,833,47.3
SK0237500828,Topoľčianky,2704,1339,49.52,1365,50.48
SK0237500836,Velčice,851,403,47.36,448,52.64
SK0237500909,Vieska nad Žitavou,463,227,49.03,236,50.97
SK0237500925,Volkovce,1013,485,47.88,528,52.12
SK0237500968,Zlaté Moravce,11946,5765,48.26,6181,51.74
SK0237500976,Zlatno (Okres Zlaté Moravce),211,105,49.76,106,50.24
SK0237500984,Žikava,528,263,49.81,265,50.19
SK0237517305,Tekovské Nemce,1061,535,50.42,526,49.58
SK0237555916,Červený Hrádok,419,202,48.21,217,51.79
SK0237555924,Malé Vozokany,333,173,51.95,160,48.05
SK0237555932,Veľké Vozokany,448,220,49.11,228,50.89
SK0237582816,Žitavany,1861,923,49.6,938,50.4
SK031A509604,Brezovica (Okres Tvrdošín),1367,688,50.33,679,49.67
SK031A509655,Habovka,1374,680,49.49,694,50.51
SK031A509663,Hladovka,1047,539,51.48,508,48.52
SK031A509795,Liesek,2962,1501,50.68,1461,49.32
SK031A509876,Nižná (Okres Tvrdošín),3936,1944,49.39,1992,50.61
SK031A509949,Oravský Biely Potok,740,374,50.54,366,49.46
SK031A509981,Podbiel,1304,653,50.08,651,49.92
SK031A510076,Suchá Hora,1455,737,50.65,718,49.35
SK031A510084,Štefanov nad Oravou,697,369,52.94,328,47.06
SK031A510106,Trstená,7213,3608,50.02,3605,49.98
SK031A510114,Tvrdošín,8952,4493,50.19,4459,49.81
SK031A510173,Vitanová,1321,657,49.74,664,50.26
SK031A510190,Zábiedovo,900,433,48.11,467,51.89
SK031A510238,Zuberec,1913,935,48.88,978,51.12
SK031A518719,Čimhová,675,341,50.52,334,49.48
SK031B517402,Žilina,82656,40136,48.56,42520,51.44
SK031B517429,Belá (Okres Žilina),3338,1644,49.25,1694,50.75
SK031B517470,Čičmany,119,59,49.58,60,50.42
SK031B517488,Divina,2441,1219,49.94,1222,50.06
SK031B517496,Divinka,1022,502,49.12,520,50.88
SK031B517500,Dlhé Pole,1938,935,48.25,1003,51.75
SK031B517518,Dolná Tižina,1456,735,50.48,721,49.52
SK031B517526,Dolný Hričov,1651,808,48.94,843,51.06
SK031B517542,Fačkov,653,357,54.67,296,45.33
SK031B517551,Gbeľany,1449,713,49.21,736,50.79
SK031B517577,Hôrky,882,439,49.77,443,50.23
SK031B517593,Horný Hričov,835,428,51.26,407,48.74
SK031B517640,Jasenové,614,303,49.35,311,50.65
SK031B517658,Kamenná Poruba (Okres Žilina),1856,931,50.16,925,49.84
SK031B517682,Konská (Okres Žilina),1650,832,50.42,818,49.58
SK031B517704,Kotrčiná Lúčka,568,274,48.24,294,51.76
SK031B517712,Krasňany,1614,837,51.86,777,48.14
SK031B517721,Kunerad,1050,530,50.48,520,49.52
SK031B517739,Lietava,1601,782,48.84,819,51.16
SK031B517755,Lietavská Svinná-Babkov,1702,832,48.88,870,51.12
SK031B517763,Lutiše,761,405,53.22,356,46.78
SK031B517771,Lysica,871,441,50.63,430,49.37
SK031B517780,Malá Čierna,331,171,51.66,160,48.34
SK031B517801,Mojš,1311,676,51.56,635,48.44
SK031B517828,Nededza,1070,527,49.25,543,50.75
SK031B517879,Podhorie (Okres Žilina),949,478,50.37,471,49.63
SK031B517917,Rajec,5897,2939,49.84,2958,50.16
SK031B517925,Rajecká Lesná,1234,641,51.94,593,48.06
SK031B517933,Rajecké Teplice,2841,1406,49.49,1435,50.51
SK031B517941,Rosina,3329,1649,49.53,1680,50.47
SK031B517950,Stráňavy,1916,932,48.64,984,51.36
SK031B517968,Stránske,889,436,49.04,453,50.96
SK031B517976,Stráža,673,323,47.99,350,52.01
SK031B517984,Strečno,2613,1316,50.36,1297,49.64
SK031B518000,Svederník,1614,797,49.38,817,50.62
SK031B518034,Teplička nad Váhom,4379,2118,48.37,2261,51.63
SK031B518042,Terchová,4009,2037,50.81,1972,49.19
SK031B518051,Turie,2050,1010,49.27,1040,50.73
SK031B518069,Varín,3896,1930,49.54,1966,50.46
SK031B518077,Veľká Čierna,365,171,46.85,194,53.15
SK031B518093,Višňové (Okres Žilina),3004,1474,49.07,1530,50.93
SK031B518131,Zbyňov,881,434,49.26,447,50.74
SK031B547522,Bitarová,808,416,51.49,392,48.51
SK031B547557,Brezany,657,337,51.29,320,48.71
SK031B547590,Hričovské Podhradie,354,177,50,177,50
SK031B547611,Ovčiarsko,709,362,51.06,347,48.94
SK031B547620,Paština Závada,244,114,46.72,130,53.28
SK031B557935,Lietavská Lúčka,1878,923,49.15,955,50.85
SK031B557960,Porúbka (Okres Žilina),521,250,47.98,271,52.02
SK031B557986,Ďurčiná,1096,555,50.64,541,49.36
SK031B557994,Kľače,419,206,49.16,213,50.84
SK031B558168,Nezbudská Lúčka,386,195,50.52,191,49.48
SK031B581712,Šuja,327,170,51.99,157,48.01
SK0311517461,Bytča,11414,5590,48.97,5824,51.03
SK0311517623,Hvozdnica,1199,590,49.21,609,50.79
SK0311517631,Jablonové (Okres Bytča),910,476,52.31,434,47.69
SK0311517674,Kolárovice,1824,942,51.64,882,48.36
SK0311517691,Kotešová,2151,1079,50.16,1072,49.84
SK0311517798,Maršová-Rašov,1022,506,49.51,516,50.49
SK0311517861,Petrovice,1614,781,48.39,833,51.61
SK0311517895,Predmier,1357,672,49.52,685,50.48
SK0311517992,Súľov-Hradná,977,474,48.52,503,51.48
SK0311518018,Štiavnik,4014,1993,49.65,2021,50.35
SK0311518085,Veľké Rovné,3697,1886,51.01,1811,48.99
SK0311581984,Hlboké nad Váhom,975,456,46.77,519,53.23
SK0312509132,Čadca,23328,11468,49.16,11860,50.84
SK0312509159,Čierne,4419,2238,50.64,2181,49.36
SK0312509167,Dlhá nad Kysucou,619,309,49.92,310,50.08
SK0312509183,Dunajov,1136,545,47.98,591,52.02
SK0312509213,Klokočov (Okres Čadca),2287,1157,50.59,1130,49.41
SK0312509221,Klubina,537,264,49.16,273,50.84
SK0312509230,Korňa,1981,1020,51.49,961,48.51
SK0312509248,Krásno nad Kysucou,6676,3326,49.82,3350,50.18
SK0312509299,Makov,1710,861,50.35,849,49.65
SK0312509311,Nová Bystrica,2680,1383,51.6,1297,48.4
SK0312509337,Olešná,1929,1002,51.94,927,48.06
SK0312509345,Oščadnica,5736,2823,49.22,2913,50.78
SK0312509361,Podvysoká,1347,657,48.78,690,51.22
SK0312509396,Radôstka,798,400,50.13,398,49.87
SK0312509400,Raková,5630,2785,49.47,2845,50.53
SK0312509451,Skalité,5247,2565,48.89,2682,51.11
SK0312509477,Stará Bystrica,2740,1373,50.11,1367,49.89
SK0312509485,Staškov,2764,1431,51.77,1333,48.23
SK0312509493,Svrčinovec,3370,1692,50.21,1678,49.79
SK0312509507,Turzovka,7233,3596,49.72,3637,50.28
SK0312509515,Vysoká nad Kysucou,2578,1296,50.27,1282,49.73
SK0312509523,Zákopčie,1710,851,49.77,859,50.23
SK0312509531,Zborov nad Bystricou,2187,1085,49.61,1102,50.39
SK0313509540,Dolný Kubín,18095,8746,48.33,9349,51.67
SK0313509639,Dlhá nad Oravou,1433,721,50.31,712,49.69
SK0313509671,Horná Lehota (Okres Dolný Kubín),557,280,50.27,277,49.73
SK0313509698,Chlebnice,1604,822,51.25,782,48.75
SK0313509701,Istebné,1359,679,49.96,680,50.04
SK0313509710,Jasenová,425,209,49.18,216,50.82
SK0313509744,Kraľovany,430,236,54.88,194,45.12
SK0313509761,Krivá,808,420,51.98,388,48.02
SK0313509787,Leštiny,296,156,52.7,140,47.3
SK0313509825,Malatiná,834,409,49.04,425,50.96
SK0313509833,Medzibrodie nad Oravou,572,297,51.92,275,48.08
SK0313509922,Oravská Poruba,1079,547,50.7,532,49.3
SK0313509957,Oravský Podzámok,1353,667,49.3,686,50.7
SK0313509965,Osádka,169,85,50.3,84,49.7
SK0313509973,Párnica,936,473,50.53,463,49.47
SK0313509990,Pokryváč,177,87,49.15,90,50.85
SK0313510009,Pribiš,478,241,50.42,237,49.58
SK0313510017,Pucov,900,450,50,450,50
SK0313510041,Sedliacka Dubová,542,266,49.08,276,50.92
SK0313510165,Veličná,1431,706,49.34,725,50.66
SK0313510181,Vyšný Kubín,796,401,50.38,395,49.62
SK0313510211,Zázrivá,2552,1281,50.2,1271,49.8
SK0313510254,Žaškov,1622,826,50.92,796,49.08
SK0313580813,Bziny,578,295,51.04,283,48.96
SK0314509175,Dolný Vadičov,513,269,52.44,244,47.56
SK0314509205,Horný Vadičov,1679,862,51.34,817,48.66
SK0314509256,Kysucké Nové Mesto,14660,7214,49.21,7446,50.79
SK0314509264,Kysucký Lieskovec,2378,1189,50,1189,50
SK0314509272,Lodno,971,497,51.18,474,48.82
SK0314509281,Lopušné Pažite,441,229,51.93,212,48.07
SK0314509302,Nesluša,3165,1586,50.11,1579,49.89
SK0314509329,Ochodnica,1922,937,48.75,985,51.25
SK0314509370,Povina,1138,563,49.47,575,50.53
SK0314509426,Rudina,1814,925,50.99,889,49.01
SK0314509434,Rudinka,397,185,46.6,212,53.4
SK0314509442,Rudinská,1015,532,52.41,483,47.59
SK0314509469,Snežnica,1085,522,48.11,563,51.89
SK0314580791,Radoľa,1521,746,49.05,775,50.95
SK0315507393,Konská (Okres Liptovský Mikuláš),223,116,52.02,107,47.98
SK0315510262,Liptovský Mikuláš,30522,14605,47.85,15917,52.15
SK0315510271,Beňadiková,533,282,52.91,251,47.09
SK0315510319,Bobrovček,170,82,48.24,88,51.76
SK0315510327,Bobrovec,1984,969,48.84,1015,51.16
SK0315510335,Bobrovník,132,60,45.45,72,54.55
SK0315510351,Bukovina,112,55,49.11,57,50.89
SK0315510386,Demänovská Dolina,317,178,56.15,139,43.85
SK0315510408,Dúbrava (Okres Liptovský Mikuláš),1228,584,47.56,644,52.44
SK0315510416,Galovany,311,159,51.13,152,48.87
SK0315510424,Gôtovany,471,239,50.74,232,49.26
SK0315510459,Huty,155,80,51.61,75,48.39
SK0315510467,Hybe,1480,743,50.2,737,49.8
SK0315510505,Jakubovany (Okres Liptovský Mikuláš),370,195,52.7,175,47.3
SK0315510513,Jalovec (Okres Liptovský Mikuláš),311,151,48.55,160,51.45
SK0315510521,Jamník (Okres Liptovský Mikuláš),477,242,50.73,235,49.27
SK0315510564,Kráľova Lehota,598,298,49.83,300,50.17
SK0315510572,Kvačany (Okres Liptovský Mikuláš),558,278,49.82,280,50.18
SK0315510581,Lazisko,372,187,50.27,185,49.73
SK0315510602,Liptovská Anna,95,55,57.89,40,42.11
SK0315510611,Liptovská Kokava,934,456,48.82,478,51.18
SK0315510653,Liptovská Sielnica,605,307,50.74,298,49.26
SK0315510688,Liptovské Beharovce,80,40,50,40,50
SK0315510696,Liptovské Kľačany,378,181,47.88,197,52.12
SK0315510700,Liptovské Matiašovce,314,155,49.36,159,50.64
SK0315510726,Liptovský Hrádok,7154,3361,46.98,3793,53.02
SK0315510734,Liptovský Ján,1099,508,46.22,591,53.78
SK0315510751,Liptovský Ondrej,627,307,48.96,320,51.04
SK0315510777,Liptovský Trnovec,583,275,47.17,308,52.83
SK0315510793,Ľubeľa,1216,590,48.52,626,51.48
SK0315510831,Malatíny,244,114,46.72,130,53.28
SK0315510840,Malé Borové,124,59,47.58,65,52.42
SK0315510858,Malužiná,221,114,51.58,107,48.42
SK0315510874,Nižná Boca,163,78,47.85,85,52.15
SK0315510904,Partizánska Ľupča,1318,672,50.99,646,49.01
SK0315510912,Pavčina Lehota,393,176,44.78,217,55.22
SK0315510921,Pavlova Ves,284,138,48.59,146,51.41
SK0315510947,Podtureň,1094,522,47.71,572,52.29
SK0315510963,Pribylina,1327,686,51.7,641,48.3
SK0315510971,Prosiek,226,108,47.79,118,52.21
SK0315511013,Smrečany,696,362,52.01,334,47.99
SK0315511048,Svätý Kríž,887,450,50.73,437,49.27
SK0315511072,Trstené,220,107,48.64,113,51.36
SK0315511099,Uhorská Ves,537,266,49.53,271,50.47
SK0315511111,Vavrišovo,671,340,50.67,331,49.33
SK0315511129,Važec,2382,1209,50.76,1173,49.24
SK0315511137,Veľké Borové,40,18,45,22,55
SK0315511145,Veterná Poruba,387,199,51.42,188,48.58
SK0315511153,Vlachy,619,315,50.89,304,49.11
SK0315511170,Východná,2222,1096,49.32,1126,50.68
SK0315511188,Vyšná Boca,106,55,51.89,51,48.11
SK0315511196,Závažná Poruba,1248,617,49.44,631,50.56
SK0315511200,Žiar (Okres Liptovský Mikuláš),477,235,49.27,242,50.73
SK0315556807,Ižipovce,89,47,52.81,42,47.19
SK0315558281,Liptovská Porúbka,1248,620,49.68,628,50.32
SK0315580287,Liptovský Peter,1303,625,47.97,678,52.03
SK0316512036,Martin,52520,25020,47.64,27500,52.36
SK0316512052,Belá-Dulice,1235,615,49.8,620,50.2
SK0316512061,Benice,351,177,50.43,174,49.57
SK0316512079,Blatnica,1021,484,47.4,537,52.6
SK0316512133,Bystrička,1476,737,49.93,739,50.07
SK0316512150,Ďanová,559,272,48.66,287,51.34
SK0316512168,Diaková,491,237,48.27,254,51.73
SK0316512206,Dolný Kalník,301,150,49.83,151,50.17
SK0316512214,Dražkovce,1019,512,50.25,507,49.75
SK0316512257,Folkušová,150,69,46,81,54
SK0316512290,Horný Kalník,186,86,46.24,100,53.76
SK0316512346,Karlová,111,54,48.65,57,51.35
SK0316512354,Kláštor pod Znievom,1757,891,50.71,866,49.29
SK0316512371,Košťany nad Turcom,1336,659,49.33,677,50.67
SK0316512389,Krpeľany,1087,571,52.53,516,47.47
SK0316512397,Laskár,120,61,50.83,59,49.17
SK0316512419,Ležiachov,155,83,53.55,72,46.45
SK0316512435,Lipovec (Okres Martin),899,449,49.94,450,50.06
SK0316512478,Necpaly,998,538,53.91,460,46.09
SK0316512486,Nolčovo,255,127,49.8,128,50.2
SK0316512508,Podhradie (Okres Martin),682,358,52.49,324,47.51
SK0316512524,Príbovce,1102,538,48.82,564,51.18
SK0316512541,Rakovo,381,193,50.66,188,49.34
SK0316512567,Ratkovo,194,105,54.12,89,45.88
SK0316512583,Sklabiňa,645,320,49.61,325,50.39
SK0316512591,Sklabinský Podzámok,181,100,55.25,81,44.75
SK0316512613,Slovany,441,223,50.57,218,49.43
SK0316512630,Socovce,239,128,53.56,111,46.44
SK0316512648,Sučany,4711,2308,48.99,2403,51.01
SK0316512656,Šútovo,509,238,46.76,271,53.24
SK0316512664,Trebostovo,600,295,49.17,305,50.83
SK0316512672,Trnovo,280,143,51.07,137,48.93
SK0316512681,Turany,4193,2036,48.56,2157,51.44
SK0316512702,Turčianska Štiavnička,954,478,50.1,476,49.9
SK0316512711,Turčianske Kľačany,1024,500,48.83,524,51.17
SK0316512737,Turčiansky Ďur,171,79,46.2,92,53.8
SK0316512753,Turčiansky Peter,536,259,48.32,277,51.68
SK0316512761,Valča,1760,867,49.26,893,50.74
SK0316512796,Vrícko,440,159,36.14,281,63.86
SK0316512818,Záborie,170,89,52.35,81,47.65
SK0316512834,Žabokreky,1206,605,50.17,601,49.83
SK0316545961,Turčianske Jaseno,419,219,52.27,200,47.73
SK0316557358,Vrútky,7511,3665,48.8,3846,51.2
SK0317509558,Babín,1444,738,51.11,706,48.89
SK0317509566,Beňadovo,938,451,48.08,487,51.92
SK0317509582,Bobrov,1913,941,49.19,972,50.81
SK0317509591,Breza,1627,857,52.67,770,47.33
SK0317509680,Hruštín,3177,1606,50.55,1571,49.45
SK0317509728,Klin,2475,1232,49.78,1243,50.22
SK0317509779,Krušetnica,973,489,50.26,484,49.74
SK0317509809,Lokca,2389,1221,51.11,1168,48.89
SK0317509817,Lomná,943,477,50.58,466,49.42
SK0317509850,Mútne,3072,1562,50.85,1510,49.15
SK0317509868,Námestovo,7722,3836,49.68,3886,50.32
SK0317509884,Novoť,3713,1852,49.88,1861,50.12
SK0317509892,Oravská Jasenica,1922,962,50.05,960,49.95
SK0317509906,Oravská Lesná,3445,1729,50.19,1716,49.81
SK0317509914,Oravská Polhora,3974,2035,51.21,1939,48.79
SK0317509931,Oravské Veselé,2996,1509,50.37,1487,49.63
SK0317510025,Rabča,5139,2601,50.61,2538,49.39
SK0317510033,Rabčice,2024,1047,51.73,977,48.27
SK0317510050,Sihelné,2182,1107,50.73,1075,49.27
SK0317510092,Ťapešovo,776,398,51.29,378,48.71
SK0317510149,Vasiľov,840,401,47.74,439,52.26
SK0317510157,Vavrečka,1620,844,52.1,776,47.9
SK0317510203,Zákamenné,5542,2790,50.34,2752,49.66
SK0317510246,Zubrohlava,2354,1174,49.87,1180,50.13
SK0318507300,Ivachnová,680,325,47.79,355,52.21
SK0318507407,Turík,279,143,51.25,136,48.75
SK0318510301,Bešeňová,657,329,50.08,328,49.92
SK0318510441,Hubová,1079,533,49.4,546,50.6
SK0318510530,Kalameny,450,225,50,225,50
SK0318510548,Komjatná,1576,773,49.05,803,50.95
SK0318510599,Likavka,2987,1451,48.58,1536,51.42
SK0318510629,Liptovská Lúžna,2782,1383,49.71,1399,50.29
SK0318510637,Liptovská Osada,1617,795,49.17,822,50.83
SK0318510661,Liptovská Štiavnica,1300,646,49.69,654,50.31
SK0318510670,Liptovská Teplá,1031,542,52.57,489,47.43
SK0318510718,Liptovské Revúce,1536,737,47.98,799,52.02
SK0318510742,Liptovský Michal,301,149,49.5,152,50.5
SK0318510785,Lisková,2061,999,48.47,1062,51.53
SK0318510807,Ľubochňa,1074,538,50.09,536,49.91
SK0318510815,Lúčky (Okres Ružomberok),1651,826,50.03,825,49.97
SK0318510823,Ludrová,1000,505,50.5,495,49.5
SK0318510866,Martinček,452,231,51.11,221,48.89
SK0318510955,Potok (Okres Ružomberok),98,53,54.08,45,45.92
SK0318510998,Ružomberok,27407,13098,47.79,14309,52.21
SK0318511005,Liptovské Sliače,3718,1859,50,1859,50
SK0318511030,Stankovany,1149,579,50.39,570,49.61
SK0318511056,Štiavnička,869,418,48.1,451,51.9
SK0318511064,Švošov,856,447,52.22,409,47.78
SK0318511102,Valaská Dubová,782,383,48.98,399,51.02
SK0319512044,Abramová,178,87,48.88,91,51.12
SK0319512087,Blažovce,162,93,57.41,69,42.59
SK0319512095,Bodorová,240,114,47.5,126,52.5
SK0319512109,Borcová,146,76,52.05,70,47.95
SK0319512117,Brieštie,136,70,51.47,66,48.53
SK0319512125,Budiš,196,97,49.49,99,50.51
SK0319512141,Čremošné,79,34,43.04,45,56.96
SK0319512222,Dubové (Okres Turčianske Teplice),698,354,50.72,344,49.28
SK0319512265,Háj (Okres Turčianske Teplice),462,231,50,231,50
SK0319512273,Horná Štubňa,1618,789,48.76,829,51.24
SK0319512303,Ivančiná,90,48,53.33,42,46.67
SK0319512311,Jasenovo,123,67,54.47,56,45.53
SK0319512320,Jazernica,352,178,50.57,174,49.43
SK0319512338,Kaľamenová,85,41,48.24,44,51.76
SK0319512427,Liešno,56,30,53.57,26,46.43
SK0319512443,Malý Čepčín,545,269,49.36,276,50.64
SK0319512451,Moškovec,70,36,51.43,34,48.57
SK0319512460,Mošovce,1357,652,48.05,705,51.95
SK0319512494,Ondrašová,92,47,51.09,45,48.91
SK0319512559,Rakša,219,109,49.77,110,50.23
SK0319512575,Rudno,200,98,49,102,51
SK0319512605,Sklené,686,355,51.75,331,48.25
SK0319512621,Slovenské Pravno,891,440,49.38,451,50.62
SK0319512699,Turček,619,298,48.14,321,51.86
SK0319512729,Turčianske Teplice,6412,3117,48.61,3295,51.39
SK0319512788,Veľký Čepčín,244,116,47.54,128,52.46
SK03A1726:A18752A515850,Veľký Krtíš,11028,5273,47.81,5755,52.19
SK032A515868,Balog nad Ipľom,781,375,48.02,406,51.98
SK032A515876,Bátorová,353,181,51.27,172,48.73
SK032A515884,Brusník,114,65,57.02,49,42.98
SK032A515892,Bušince,1404,680,48.43,724,51.57
SK032A515906,Čebovce,1044,516,49.43,528,50.57
SK032A515914,Čeláre,480,259,53.96,221,46.04
SK032A515922,Čelovce (Okres Veľký Krtíš),431,227,52.67,204,47.33
SK032A515931,Červeňany,34,15,44.12,19,55.88
SK032A515949,Dačov Lom,401,202,50.37,199,49.63
SK032A515957,Dolinka,470,225,47.87,245,52.13
SK032A515965,Dolná Strehová,1013,502,49.56,511,50.44
SK032A515973,Dolné Plachtince,603,293,48.59,310,51.41
SK032A515981,Dolné Strháre,198,100,50.51,98,49.49
SK032A515990,Ďurkovce,126,61,48.41,65,51.59
SK032A516007,Glabušovce,113,54,47.79,59,52.21
SK032A516015,Horná Strehová,153,76,49.67,77,50.33
SK032A516023,Horné Plachtince,210,101,48.1,109,51.9
SK032A516031,Horné Strháre,254,130,51.18,124,48.82
SK032A516040,Hrušov (Okres Veľký Krtíš),824,406,49.27,418,50.73
SK032A516058,Chrastince,208,97,46.63,111,53.37
SK032A516066,Chrťany,107,61,57.01,46,42.99
SK032A516074,Ipeľské Predmostie,578,301,52.08,277,47.92
SK032A516082,Kamenné Kosihy,351,171,48.72,180,51.28
SK032A516091,Kiarov,273,132,48.35,141,51.65
SK032A516104,Kleňany,278,139,50,139,50
SK032A516112,Koláre,243,122,50.21,121,49.79
SK032A516121,Kosihovce,559,279,49.91,280,50.09
SK032A516139,Kosihy nad Ipľom,405,191,47.16,214,52.84
SK032A516147,Kováčovce,318,168,52.83,150,47.17
SK032A516155,Lesenice,487,222,45.59,265,54.41
SK032A516163,Ľuboriečka,144,66,45.83,78,54.17
SK032A516171,Malá Čalomija,193,98,50.78,95,49.22
SK032A516198,Malé Zlievce,294,143,48.64,151,51.36
SK032A516210,Modrý Kameň,1620,817,50.43,803,49.57
SK032A516228,Muľa,359,189,52.65,170,47.35
SK032A516236,Nenince,1318,649,49.24,669,50.76
SK032A516244,Nová Ves,441,218,49.43,223,50.57
SK032A516252,Obeckov,444,223,50.23,221,49.77
SK032A516261,Olováry,260,121,46.54,139,53.46
SK032A516279,Opatovská Nová Ves,637,311,48.82,326,51.18
SK032A516287,Opava,110,63,57.27,47,42.73
SK032A516295,Pôtor,759,386,50.86,373,49.14
SK032A516309,Pravica,118,60,50.85,58,49.15
SK032A516317,Príbelce,558,258,46.24,300,53.76
SK032A516333,Sečianky,335,158,47.16,177,52.84
SK032A516341,Seľany,162,78,48.15,84,51.85
SK032A516368,Senné (Okres Veľký Krtíš),190,86,45.26,104,54.74
SK032A516376,Sklabiná,931,449,48.23,482,51.77
SK032A516384,Slovenské Ďarmoty,520,265,50.96,255,49.04
SK032A516392,Slovenské Kľačany,170,81,47.65,89,52.35
SK032A516406,Stredné Plachtince,602,297,49.34,305,50.66
SK032A516414,Sucháň,264,134,50.76,130,49.24
SK032A516422,Suché Brezovo,94,44,46.81,50,53.19
SK032A516431,Širákov,190,88,46.32,102,53.68
SK032A516449,Šuľa,74,37,50,37,50
SK032A516457,Trebušovce,169,79,46.75,90,53.25
SK032A516465,Veľká Čalomija,568,266,46.83,302,53.17
SK032A516473,Veľká Ves nad Ipľom,405,205,50.62,200,49.38
SK032A516490,Veľké Zlievce,498,247,49.6,251,50.4
SK032A516503,Veľký Lom,138,73,52.9,65,47.1
SK032A516511,Vieska (Okres Veľký Krtíš),197,108,54.82,89,45.18
SK032A516520,Vinica,1794,864,48.16,930,51.84
SK032A516538,Vrbovka,329,162,49.24,167,50.76
SK032A516546,Záhorce,669,317,47.38,352,52.62
SK032A516554,Závada (Okres Veľký Krtíš),440,214,48.64,226,51.36
SK032A516562,Zombor,148,78,52.7,70,47.3
SK032A516571,Želovce,1206,579,48.01,627,51.99
SK032A558192,Malý Krtíš,490,237,48.37,253,51.63
SK032A558206,Malé Straciny,151,84,55.63,67,44.37
SK032A558214,Veľké Straciny,168,82,48.81,86,51.19
SK032B518158,Zvolen,40637,19196,47.24,21441,52.76
SK032B518166,Babiná,529,268,50.66,261,49.34
SK032B518174,Bacúrov,158,79,50,79,50
SK032B518191,Breziny,371,191,51.48,180,48.52
SK032B518204,Budča,1340,646,48.21,694,51.79
SK032B518221,Bzovská Lehôtka,132,57,43.18,75,56.82
SK032B518298,Dobrá Niva,1862,932,50.05,930,49.95
SK032B518361,Dubové (Okres Zvolen),320,163,50.94,157,49.06
SK032B518476,Hronská Breznica,258,120,46.51,138,53.49
SK032B518506,Kováčová (Okres Zvolen),1552,763,49.16,789,50.84
SK032B518581,Lešť (vojenský obvod),31,17,54.84,14,45.16
SK032B518654,Michalková,37,17,45.95,20,54.05
SK032B518662,Očová,2534,1247,49.21,1287,50.79
SK032B518671,Ostrá Lúka,305,157,51.48,148,48.52
SK032B518689,Pliešovce,2260,1113,49.25,1147,50.75
SK032B518697,Podzámčok,542,267,49.26,275,50.74
SK032B518727,Sása (Okres Zvolen),887,456,51.41,431,48.59
SK032B518760,Sielnica,1398,702,50.21,696,49.79
SK032B518808,Sliač,4894,2365,48.32,2529,51.68
SK032B518875,Tŕnie,403,205,50.87,198,49.13
SK032B518891,Turová,446,226,50.67,220,49.33
SK032B518972,Zvolenská Slatina,2802,1375,49.07,1427,50.93
SK032B518981,Železná Breznica,554,282,50.9,272,49.1
SK032B558087,Lukavica (Okres Zvolen),261,141,54.02,120,45.98
SK032B558133,Lieskovec (Okres Zvolen),1409,694,49.25,715,50.75
SK032B581585,Veľká Lúka,828,407,49.15,421,50.85
SK032C516759,Hodruša-Hámre,2076,1021,49.18,1055,50.82
SK032C516805,Horné Hámre,658,333,50.61,325,49.39
SK032C516813,Hrabičov,568,282,49.65,286,50.35
SK032C516830,Hronský Beňadik,1122,566,50.45,556,49.55
SK032C516902,Kľak,180,94,52.22,86,47.78
SK032C517062,Malá Lehota,814,417,51.23,397,48.77
SK032C517097,Nová Baňa,7007,3401,48.54,3606,51.46
SK032C517119,Ostrý Grúň,539,282,52.32,257,47.68
SK032C517127,Píla (Okres Žarnovica),125,70,56,55,44
SK032C517232,Rudno nad Hronom,538,265,49.26,273,50.74
SK032C517291,Tekovská Breznica,1213,590,48.64,623,51.36
SK032C517330,Veľká Lehota,1069,555,51.92,514,48.08
SK032C517348,Veľké Pole,421,246,58.43,175,41.57
SK032C517356,Voznica,633,318,50.24,315,49.76
SK032C517381,Žarnovica,5830,2837,48.66,2993,51.34
SK032C517399,Župkov,876,437,49.89,439,50.11
SK032C580546,Orovnica,543,277,51.01,266,48.99
SK032C581607,Brehy,1030,540,52.43,490,47.57
SK032D516589,Žiar nad Hronom,17578,8474,48.21,9104,51.79
SK032D516660,Bartošova Lehôtka,354,173,48.87,181,51.13
SK032D516708,Bzenica,614,323,52.61,291,47.39
SK032D516724,Dolná Trnávka,332,159,47.89,173,52.11
SK032D516732,Dolná Ves,220,119,54.09,101,45.91
